-2.5	-0.0003	7.583788867317934E-05	0.030333972	0.0598331	0.000415923	0.000737671	0.005219123	-0.0048132	0.0004272	0.000312807	0.0219099	
-2.5	-0.000296	0.7059825854448212	0.03010512	0.057459	0.000416996	0.000742439	0.005268864	-0.0042523	0.0004293	0.000298264	0.0219099	
-2.5	-0.000292	1.390867838239383	0.029795087	0.0561245	0.00041795	0.000739578	0.005321596	-0.0040158	0.0004296	0.000293018	0.0219099	
-2.5	-0.000288	2.049910930479696	0.029460669	0.0551126	0.000417711	0.000737194	0.00534895	-0.0039025	0.0004293	0.00029278	0.0219099	
-2.5	-0.000284	2.712951351434376	0.029120292	0.0542222	0.00041783	0.000739578	0.005373366	-0.0038277	0.000429	0.000292303	0.0219099	
-2.5	-0.00028	3.342914933248258	0.028778716	0.0534405	0.000418069	0.000739578	0.005400752	-0.003754	0.0004302000000000001	0.000292065	0.0219099	
-2.5	-0.000276	4.009815406739077	0.028428808	0.0526203	0.00041783	0.00073624	0.005428286	-0.0036792	0.0004293	0.00029278	0.0219099	
-2.5	-0.000272	4.650392773065198	0.028080936	0.0518535	0.00041795	0.000739578	0.005467912	-0.0036132	0.0004293	0.000293257	0.0219099	
-2.5	-0.000268	5.342850935029968	0.027733086	0.0511154	0.000418188	0.000739578	0.00548086	-0.0035725	0.0004293	0.000293495	0.0219099	
-2.5	-0.000264	6.00595791413167	0.027381913	0.0503741	0.000417115	0.000741962	0.005513869	-0.0035241	0.000429	0.000294926	0.0219099	
-2.5	-0.00026	6.64396703195783	0.027044335	0.0495582	0.000417354	0.000742439	0.005555915	-0.003435	0.0004302000000000001	0.000293972	0.0219099	
-2.5	-0.000256	7.30522382256878	0.026692514	0.0487669	0.00041783	0.0007410090000000001	0.005588057	-0.0033976	0.0004314	0.000294926	0.0219099	
-2.5	-0.000252	7.948080485439285	0.026349703	0.048	0.000417473	0.000741962	0.005609683	-0.0033316	0.0004287	0.000293495	0.0219099	
-2.5	-0.000248	8.609137921600263	0.026004309	0.0472225	0.000416996	0.00074387	0.005645081	-0.0032612	0.0004287	0.000293972	0.0219099	
-2.5	-0.000244	9.287265282534534	0.025650627	0.0464343	0.000417473	0.000744823	0.005677445	-0.0031974	0.0004287	0.000292065	0.0219099	
-2.5	-0.00024	10.02223970084673	0.025299815	0.0456835	0.000416877	0.000746731	0.005697189	-0.0031347	0.0004302000000000001	0.000292541	0.0219099	
-2.5	-0.000236	10.6892764905425	0.02495625	0.0448506	0.000416877	0.00074387	0.005734532	-0.0030699	0.0004299	0.000291111	0.0219099	
-2.5	-0.000232	11.34825814449326	0.024613491	0.0440017	0.000416877	0.000746731	0.005757701	-0.0030017	0.0004284	0.000289442	0.0219099	
-2.5	-0.000228	12.00229849600987	0.02426815	0.0432061	0.000417234	0.00074387	0.005786757	-0.0029379	0.0004305	0.000289204	0.0219099	
-2.5	-0.000224	12.68225076613867	0.023920854	0.0424392	0.000417234	0.000747208	0.005823413	-0.0028774	0.000429	0.000286104	0.0219099	
-2.5	-0.00022	13.40633364767125	0.023577837	0.0416489	0.000416758	0.000751499	0.00584508	-0.002818	0.0004302000000000001	0.000284912	0.0219099	
-2.5	-0.000216	14.04335943287339	0.023240838	0.0407862	0.000416638	0.000751976	0.005872868	-0.0027388	0.0004314	0.000282289	0.0219099	
-2.5	-0.000212	14.69731722668841	0.022883401	0.0400716	0.000416877	0.000753406	0.005916753	-0.0026904	0.000429	0.000282289	0.0219099	
-2.5	-0.000208	15.34751736511656	0.022546925	0.0391524	0.000416758	0.000755314	0.005942173	-0.0026057	0.0004308	0.000279428	0.0219099	
-2.5	-0.000204	16.00448147523573	0.02219888	0.0383685	0.000416281	0.000758652	0.005982803	-0.0025463	0.0004308	0.00027776	0.0219099	
-2.5	-0.0002	16.64443421895134	0.021859068	0.0375644	0.000416519	0.000761513	0.006003002	-0.0024946	0.0004311	0.000277283	0.0219099	
-2.5	-0.000196	17.30913539367064	0.021511958	0.0367613	0.000416281	0.00076342	0.006020653	-0.0024462	0.0004308	0.000274422	0.0219099	
-2.5	-0.000192	17.94439034817271	0.021166926	0.0359571	0.0004164	0.000764851	0.006050322	-0.002389	0.0004308	0.000272514	0.0219099	
-2.5	-0.000188	18.60259698369998	0.020814981	0.0351594	0.000416161	0.000766281	0.006073967	-0.002334	0.0004296	0.000270607	0.0219099	
-2.5	-0.000184	19.24111136745953	0.020479977	0.0343127	0.000415804	0.000770096	0.006096332	-0.0022691	0.0004317	0.000268938	0.0219099	
-2.5	-0.00018	19.89757181160077	0.020122839	0.0335224	0.000415685	0.000771526	0.006123253	-0.002213	0.000432	0.000268461	0.0219099	
-2.5	-0.000176	20.59664578938122	0.019784581	0.0326937	0.000415089	0.000774387	0.00615937	-0.0021547	0.0004311	0.0002656	0.0219099	
-2.5	-0.000172	21.25254656910352	0.019434931	0.0319311	0.000415327	0.000779156	0.006182898	-0.002103	0.000432	0.000265123	0.0219099	
-2.5	-0.000168	21.90182001333083	0.019105532	0.0310471	0.000414969	0.000781063	0.006235154	-0.0020337	0.000432	0.000262501	0.0219099	
-2.5	-0.000164	22.541778196895	0.018768984	0.0302398	0.000415565	0.000784401	0.006252394	-0.0019908	0.0004332	0.000259163	0.0219099	
-2.5	-0.00016	23.19976595851572	0.018420815	0.0294037	0.000414969	0.000786308	0.006283764	-0.0019138	0.000432	0.000256779	0.0219099	
-2.5	-0.000156	23.89982390890238	0.018079001	0.0285655	0.000414493	0.000791077	0.006316384	-0.0018534	0.000432	0.000254394	0.0219099	
